ID_Cliente,Ciudad,Cliente,Genero,Linea_Producto,Precio_Unitario,Cantidad,Hora,Medio_Pago,Rating
ADJ001,Trujillo,Normal,Masculino,Deportes y viajes,72.61,6,10:39,Tarjeta crédito,6.9
ADJ002,Trujillo,Afiliado,Masculino,Hogar y estilo de vida,47.59,8,14:47,Efectivo,5.7
ADJ003,Lima,Normal,Femenino,Accesorios Electrónicos,74.71,6,19:07,Efectivo,6.7
ADJ004,Arequipa,Afiliado,Femenino,Deportes y viajes,36.98,10,19:48,Tarjeta crédito,7
ADJ005,Arequipa,Normal,Femenino,Accesorios Electrónicos,63.22,2,15:51,Efectivo,8.5
ADJ006,Arequipa,Normal,Masculino,Salud y belleza,62.87,2,11:43,Efectivo,5
ADJ007,Trujillo,Normal,Femenino,Accesorios de moda,65.74,9,13:55,Efectivo,7.7
ADJ008,Trujillo,Afiliado,Femenino,Deportes y viajes,27.04,4,20:26,Tarjeta débito,6.9
ADJ009,Trujillo,Afiliado,Femenino,Accesorios Electrónicos,74.22,10,14:42,Tarjeta crédito,4.3
ADJ010,Arequipa,Afiliado,Femenino,Deportes y viajes,29.22,6,11:40,Tarjeta débito,5
ADJ011,Lima,Normal,Masculino,Comidas y bebidas,21.12,8,19:31,Efectivo,6.3
ADJ012,Lima,Afiliado,Femenino,Comidas y bebidas,84.63,10,11:36,Tarjeta crédito,9
ADJ013,Arequipa,Normal,Femenino,Accesorios Electrónicos,23.07,9,11:27,Efectivo,4.9
ADJ014,Arequipa,Afiliado,Femenino,Hogar y estilo de vida,80.79,9,20:31,Tarjeta crédito,9.5
ADJ015,Trujillo,Afiliado,Masculino,Deportes y viajes,69.52,7,15:10,Tarjeta crédito,8.5
ADJ016,Trujillo,Afiliado,Femenino,Comidas y bebidas,14.23,5,10:08,Tarjeta crédito,4.4
ADJ017,Arequipa,Afiliado,Femenino,Comidas y bebidas,87.48,6,18:43,Tarjeta débito,5.1
ADJ018,Trujillo,Afiliado,Femenino,Salud y belleza,77.68,4,19:54,Efectivo,8.4
ADJ019,Arequipa,Normal,Masculino,Accesorios de moda,78.55,9,13:22,Efectivo,7.2
ADJ020,Lima,Normal,Masculino,Accesorios Electrónicos,27.5,3,15:40,Tarjeta débito,6.5
ADJ021,Arequipa,Afiliado,Femenino,Comidas y bebidas,74.89,4,15:32,Tarjeta débito,4.2
ADJ022,Trujillo,Normal,Masculino,Hogar y estilo de vida,34.73,2,18:14,Tarjeta débito,9.7
ADJ023,Lima,Afiliado,Masculino,Accesorios de moda,81.31,7,19:49,Tarjeta débito,6.3
ADJ024,Lima,Normal,Masculino,Salud y belleza,69.51,2,12:15,Tarjeta débito,8.1
