cycle,Finca,day,feed,initial_density,initial_population,initial_weight,morning_oxygen,morning_temperature,survival_rate,weight,sgr,fca
AGLIPESCA Ps 11A-2019 Abril 20.xls,Aglipesca,108,4588.888889,13.51851852,1460000,0.4,3.840186916,28.47850467,80,25,0.231481481,1.7
AGLIPESCA Ps 11B-2019 Agosto 3.xls,Aglipesca,94,4240.740741,13.15740741,1421000,0.3,3.722580645,26.08817204,95,22.3,0.237234043,1.5
AGLIPESCA Ps 11C-2019 Diciembre 4.xls,Aglipesca,106,5493.998153,17.51615882,1897000,0.2,3.759047619,24.95047619,95,21,0.198113208,1.6
AGLIPESCA Ps 12A-2019 Julio 21.xls,Aglipesca,96,4772.129711,15.82822086,1806000,0.23,3.758947368,27.84947368,81,24,0.25,1.6
AGLIPESCA Ps 12B-2019 Octubre 28.xls,Aglipesca,88,2031.113059,9.421560035,1075000,0.25,4.265517241,25.51954023,91,17.9,0.203409091,1.3
AGLIPESCA Ps 13A-2019 Junio 5.xls,Aglipesca,88,7840.296496,25.06738544,1860000,0.2,3.655813953,28.85232558,109,18.5,0.210227273,1.6
AGLIPESCA Ps 13B-2019 Octubre 25.xls,Aglipesca,101,4447.439353,14.69811321,1090600,0.3,3.97,25.607,104,20.2,0.2,1.4
AGLIPESCA Ps 15A-2019 Julio 20.xls,Aglipesca,96,5194.502075,16.37448133,1578500,0.37,3.788297872,27.67340426,74,27.3,0.284375,1.6
AGLIPESCA Ps 15B-2019 Noviembre 1.xls,Aglipesca,92,3425.829876,14.88589212,1435000,0.25,4.12,25.59555556,87,18.2,0.197826087,1.5
AGLIPESCA Ps 16A-2019 Julio 21.xls,Aglipesca,97,4832.720588,15.85294118,2156000,0.35,3.855789474,27.76315789,75,22.2,0.228865979,1.8
AGLIPESCA Ps 16B-2019 Nobiembre 15.xls,Aglipesca,109,4174.632353,12.35294118,1680000,0.25,4.110280374,25.61588785,93,22.6,0.20733945,1.6
AGLIPESCA Ps 17A-2019 Julio 5.xls,Aglipesca,109,6345.733042,15.31728665,1400000,0.3,3.516666667,28.35648148,108,19,0.174311927,2
AGLIPESCA Ps 17B-2019 Octubre 26.xls,Aglipesca,103,3889.496718,14.55142232,1330000,0.3,4.056862745,25.65,77,22.3,0.216504854,1.6
AGLIPESCA Ps 18A-2019 Julio 7.xls,Aglipesca,97,4857.283465,15.5019685,1575000,0.4,3.590526316,28.25684211,89,22.8,0.235051546,1.5
AGLIPESCA Ps 18B-2019 Octubre 28.xls,Aglipesca,105,4137.254902,14.41176471,1470000,0.3,4.0875,25.58461538,74,27.5,0.261904762,1.4
AGLIPESCA Ps 1A-2019 Mayo 24.xls,Aglipesca,99,4091.957811,16.56064601,2512250,0.4,3.64742268,28.40412371,103,18.3,0.184848485,1.3
AGLIPESCA Ps 1B-2019 Septiembre 21.xls,Aglipesca,103,3356.954515,14.70006592,2230000,0.3,3.561764706,25.20490196,53,29,0.281553398,1.5
AGLIPESCA Ps 21A-2019 Julio 19.xls,Aglipesca,103,5659.574468,16.55319149,1945000,0.5,3.390196078,27.76568627,81,22,0.213592233,1.9
AGLIPESCA Ps 21B-2019 Noviembre 2.xls,Aglipesca,96,4087.234043,14.80851064,1740000,0.3,3.987234043,25.45531915,101,18.2,0.189583333,1.5
AGLIPESCA Ps 22A-2019 Mayo 7.xls,Aglipesca,65,2280.092593,12.06481481,1303000,0.4,3.8328125,28.8765625,92,20,0.307692308,1
AGLIPESCA Ps 22B-2019 Agosto 3.xls,Aglipesca,85,3043.981481,15.74074074,1700000,0.6,3.798809524,27.06785714,59,28.3,0.332941176,1.2
AGLIPESCA Ps 22C-2019 Diciembre 4.xls,Aglipesca,106,6002.314815,17.26851852,1865000,0.3,3.865384615,25.65769231,90,21,0.198113208,1.8
AGLIPESCA Ps 23A-2019 Mayo 6.xls,Aglipesca,64,2203.125,11.95,956000,0.5,3.879365079,28.88888889,85,21,0.328125,1
AGLIPESCA Ps 23B-2019 Julio 31.xls,Aglipesca,82,2934.375,15.44375,1235500,0.7,3.966666667,27.21481481,57,27.5,0.335365854,1.2
AGLIPESCA Ps 23C-2019 Diciembre 4.xls,Aglipesca,106,5431.25,17.5,1400000,0.3,3.922330097,25.69805825,90,20.5,0.193396226,1.7
AGLIPESCA Ps 25A-2019 Junio 3.xls,Aglipesca,108,5981.369151,16.29116118,1880000,0.2,3.464485981,28.8364486,106,21,0.194444444,1.7
AGLIPESCA Ps 25C-2019 Diciembre 1.xls,Aglipesca,63,1542.461005,13.47487002,1555000,0.8,3.861290323,25.93225806,53,20,0.317460317,1.1
AGLIPESCA Ps 26A-2019 Julio 6.xls,Aglipesca,93,4472.326454,14.84052533,1582000,0.4,3.374725275,28.34505495,82,22.3,0.239784946,1.7
AGLIPESCA Ps 26B-2019 Octubre 28.xls,Aglipesca,101,4037.383178,18.31775701,1960000,0.3,3.957,25.711,67,19.2,0.19009901,1.7
AGLIPESCA Ps 27A-2019 Abril 22.xls,Aglipesca,109,4044.736842,15.05263158,1430000,0.5,3.509259259,28.69074074,66,29,0.266055046,1.4
AGLIPESCA Ps 27B-2019 Agosto 4.xls,Aglipesca,96,4523.684211,16.57894737,1575000,0.4,3.558510638,27.4712766,75,22.3,0.232291667,1.6
AGLIPESCA Ps 27C-2019 Diciembre 1.xls,Aglipesca,101,5224.210526,17.68421053,1680000,0.2,3.739393939,25.75959596,96,17,0.168316832,1.8
AGLIPESCA Ps 2A-2019 Marzo 9.xls,Aglipesca,91,2137.5,7.0125,140250,0.2,3.466666667,28.01666667,81,23,0.252747253,1.6
AGLIPESCA Ps 2B-2019 Julio 21.xls,Aglipesca,96,5875,17.5,350000,0.2,3.445263158,27.31894737,81,21.5,0.223958333,1.9
AGLIPESCA Ps 3A-2019 Julio 4.xls,Aglipesca,87,4147.245763,16.90677966,3990000,0.5,4.146511628,27.36511628,74,22.2,0.255172414,1.5
AGLIPESCA Ps 3B-2019 Octubre 31.xls,Aglipesca,105,2896.186441,16.31355932,3850000,0.2,4.102857143,25.02285714,43,22.4,0.213333333,1.8
AGLIPESCA Ps 53B-I-2015 Mayo 13.xls,Aglipesca,106,2458,10,200000,0.05,4.156190476,28.40571429,78,20,0.188679245,1.6
AGLIPESCA Ps 53B-J-2015 Octubre 28.xls,Aglipesca,110,3164.5,11.5,230000,0.05,4.082727273,25.65,65,17.4,0.158181818,2.4
AGLIPESCA Ps 53B-K-2016 Febrero 16.xls,Aglipesca,97,2925,15,300000,0.05,4.024123711,27.15979381,78,13.4,0.13814433,1.9
AGLIPESCA Ps 53B-L-2016 Junio 8.xls,Aglipesca,102,4875,15,300000,0.1,4.028431373,28.48235294,79,21,0.205882353,2
AGLIPESCA Ps 53B-M-2016 Octubre 2.xls,Aglipesca,82,3702.5,12.5,250000,0.1,4.178536585,25.49268293,90,15.8,0.192682927,2.1
AGLIPESCA Ps 53B-N-2017 Febrero 1.xls,Aglipesca,85,2690,13,260000,0.1,3.86,27.11294118,55,22,0.258823529,1.7
AGLIPESCA Ps 53B-O-2017 Junio 9.xls,Aglipesca,99,4752.5,14,280000,0.1,4.278787879,28.56060606,79,18.7,0.188888889,2.3
AGLIPESCA Ps 53B-Q-2018 Febrero 18.xls,Aglipesca,97,3312.5,13.6,272000,0.5,3.9625,27.346875,60,21,0.216494845,1.9
AGLIPESCA Ps 53B-S-2018 Septiembre 24.xls,Aglipesca,106,3250,15.5,310000,0.33,3.838679245,25.22924528,55,22.5,0.212264151,1.7
AGLIPESCA Ps 53P-2017 Noviembre 1.xls,Aglipesca,91,4325,16,320000,0.3,4.054444444,25.51111111,76,19,0.208791209,1.9
AGLIPESCA Ps 53S-2017 Junio 19.xls,Aglipesca,87,3764.00791,15.02966381,2280000,0.1,4.225287356,28.49287356,72,17.2,0.197701149,2
AGLIPESCA Ps 53T-2017 Noviembre 8.xls,Aglipesca,98,3860.580092,13.44759394,2040000,0.3,3.819795918,25.51530612,68,22,0.224489796,1.9
AGLIPESCA Ps 53U-2018 Febrero 17.xls,Aglipesca,96,2750.494397,14.94363876,2266950,0.5,3.647916667,27.47708333,39,23.5,0.244791667,2
AGLIPESCA Ps 53V-2018 Junio 2.xls,Aglipesca,89,3449.241925,14.83190508,2250000,0.5,3.601136364,28.325,71,27.5,0.308988764,1.2
AGLIPESCA Ps 53W-2018 Octubre 10.xls,Aglipesca,122,3847.066579,15.75477917,2390000,0.2,3.794214876,25.19173554,73,27.8,0.227868852,1.2
AGLIPESCA Ps 53X-2018 Febrero 8.xls,Aglipesca,114,2528.345419,13.90969018,2110100,0.8,3.72622807,26.80350877,34,28.6,0.250877193,1.9
AGLIPESCA Ps 54Q-2016 N0viembre 3.xls,Aglipesca,115,4352.032176,12.02370872,2840000,0.1,3.995964912,25.59122807,97,21,0.182608696,1.8
AGLIPESCA Ps 54R-2017 Abril 12.xls,Aglipesca,109,4901.694915,12.96610169,3060000,0.1,3.959813084,28.50093458,80,29.5,0.270642202,1.6
AGLIPESCA Ps 54S-2017 Julio 24.xls,Aglipesca,84,3231.112054,13.16850594,3102500,0.5,4.157831325,27.91807229,82,25,0.297619048,1.2
AGLIPESCA Ps 54T-2017 Diciembre 17.xls,Aglipesca,107,3837.011885,14.43123939,3400000,0.15,4.105714286,25.57047619,64,20,0.186915888,2.1
AGLIPESCA Ps 54U-2018 Marzo 21.xls,Aglipesca,86,2477.773074,13.42294666,3170500,0.3,3.984705882,28.43882353,55,19,0.220930233,1.8
AGLIPESCA Ps 54V-2018 Julio 14.xls,Aglipesca,95,3489.194915,10.87711864,2567000,0.3,4.119148936,27.05744681,92,25,0.263157895,1.4
AGLIPESCA Ps 54W-2018 Noviembre 23.xls,Aglipesca,118,3061.440678,12.28813559,2900000,0.1,4.132478632,25.06581197,57,26.5,0.224576271,1.7
AGLIPESCA Ps 54X-2019 Marzo 25.xls,Aglipesca,117,4132.627119,13.34745763,3150000,0.1,3.682307692,27.94273504,63,27,0.230769231,1.8
AGLIPESCA Ps 55BS-2017 Abril 3.xls,Aglipesca,100,4960.15625,12.6171875,807500,0.2,4.034343434,28.46161616,89,23.7,0.237,1.9
AGLIPESCA Ps 55BT-2017 Julio 21.xls,Aglipesca,81,3457.8125,13.015625,833000,0.6,4.1825,28.05375,75,23,0.283950617,1.5
AGLIPESCA Ps 55BU-2017 Diciembre 6.xls,Aglipesca,96,3441.40625,12.5,800000,0.05,4.2,25.54210526,88,19.5,0.203125,1.6
AGLIPESCA Ps 55BV-2018 Abril 4.xls,Aglipesca,100,3110.15625,14.44734375,924630,0.2,3.981,28.43,50,25,0.25,1.7
AGLIPESCA Ps 55BW-2018 Julio 17.xls,Aglipesca,102,5514.0625,27.03125,1730000,0.05,3.5,27.18921569,63,21,0.205882353,1.5
AGLIPESCA Ps 55BX-2018 Noviembre 10.xls,Aglipesca,105,3345.3125,13.40625,858000,0.2,4.003428571,25.01428571,72,23,0.219047619,1.5
AGLIPESCA Ps 55BY-2019 Marzo 20.xls,Aglipesca,112,4742.1875,13.28125,850000,0.3,3.955454545,27.84545455,98,21.4,0.191071429,1.7
AGLIPESCA Ps 55R-2016 Noviembre 2.xls,Aglipesca,107,5366.40625,13.9375,892000,0.2,4.05,25.73113208,96,21,0.196261682,1.9
AGLIPESCA Ps 56Q-2017 Enero 11.xls,Aglipesca,124,4436.940299,9.701492537,1300000,0.05,3.886290323,26.29758065,80,21.5,0.173387097,2.7
AGLIPESCA Ps 56R-2017 Abril 9.xls,Aglipesca,81,2743.283582,10.91044776,1462000,0.2,4.115,28.43125,78,20,0.24691358,1.6
AGLIPESCA Ps 56S-2017 Agosto 9.xls,Aglipesca,78,2700.373134,12.68656716,1700000,0.6,4.172727273,27.16363636,68,20.6,0.264102564,1.5
AGLIPESCA Ps 56T-2017 Diciembre 19.xls,Aglipesca,112,3758.58209,14.04104478,1881500,0.5,4.036363636,25.63272727,77,18.3,0.163392857,1.9
